Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Built Pot (V) at Lt Cont,Cont Built Pot (V) at Rt Cont
8.4000e+00,1.2593e+01,7.5484e+00,5.9035e+04,5.9036e+04,-3.6749e-16,1.5532e+00
8.4500e+00,1.2726e+01,7.6281e+00,5.9481e+04,5.9481e+04,-3.6749e-16,1.5532e+00
8.5000e+00,1.2859e+01,7.7079e+00,5.9928e+04,5.9928e+04,-3.6749e-16,1.5532e+00
8.5500e+00,1.2993e+01,7.7879e+00,6.0375e+04,6.0376e+04,-3.6749e-16,1.5532e+00
8.6000e+00,1.3127e+01,7.8681e+00,6.0824e+04,6.0825e+04,-3.6749e-16,1.5532e+00
8.6500e+00,1.3261e+01,7.9485e+00,6.1274e+04,6.1274e+04,-3.6749e-16,1.5532e+00
8.7000e+00,1.3395e+01,8.0291e+00,6.1724e+04,6.1725e+04,-3.6749e-16,1.5532e+00
8.7500e+00,1.3530e+01,8.1099e+00,6.2176e+04,6.2176e+04,-3.6749e-16,1.5532e+00
8.8000e+00,1.3665e+01,8.1908e+00,6.2628e+04,6.2629e+04,-3.6749e-16,1.5532e+00
8.8500e+00,1.3800e+01,8.2719e+00,6.3082e+04,6.3082e+04,-3.6749e-16,1.5532e+00
8.9000e+00,1.3936e+01,8.3532e+00,6.3537e+04,6.3537e+04,-3.6749e-16,1.5532e+00
8.9500e+00,1.4072e+01,8.4347e+00,6.3992e+04,6.3993e+04,-3.6749e-16,1.5532e+00
9.0000e+00,1.4208e+01,8.5164e+00,6.4449e+04,6.4449e+04,-3.6749e-16,1.5532e+00
9.0500e+00,1.4345e+01,8.5983e+00,6.4907e+04,6.4907e+04,-3.6749e-16,1.5532e+00
9.1000e+00,1.4482e+01,8.6803e+00,6.5365e+04,6.5365e+04,-3.6749e-16,1.5532e+00
9.1500e+00,1.4619e+01,8.7626e+00,6.5825e+04,6.5825e+04,-3.6749e-16,1.5532e+00
9.2000e+00,1.4756e+01,8.8450e+00,6.6286e+04,6.6286e+04,-3.6749e-16,1.5532e+00
9.2500e+00,1.4894e+01,8.9276e+00,6.6747e+04,6.6748e+04,-3.6749e-16,1.5532e+00
9.3000e+00,1.5032e+01,9.0104e+00,6.7210e+04,6.7211e+04,-3.6749e-16,1.5532e+00
9.3500e+00,1.5171e+01,9.0934e+00,6.7674e+04,6.7674e+04,-3.6749e-16,1.5532e+00
9.4000e+00,1.5310e+01,9.1765e+00,6.8139e+04,6.8139e+04,-3.6749e-16,1.5532e+00
9.4500e+00,1.5449e+01,9.2599e+00,6.8605e+04,6.8605e+04,-3.6749e-16,1.5532e+00
9.5000e+00,1.5446e+01,9.2584e+00,6.9295e+04,6.9295e+04,-3.6749e-16,1.5532e+00
9.5500e+00,1.5586e+01,9.3423e+00,6.9762e+04,6.9762e+04,-3.6749e-16,1.5532e+00
9.6000e+00,1.5726e+01,9.4264e+00,7.0230e+04,7.0230e+04,-3.6749e-16,1.5532e+00
9.6500e+00,1.5867e+01,9.5106e+00,7.0698e+04,7.0698e+04,-3.6749e-16,1.5532e+00
9.7000e+00,1.6008e+01,9.5950e+00,7.1168e+04,7.1169e+04,-3.6749e-16,1.5532e+00
9.7500e+00,1.6149e+01,9.6797e+00,7.1639e+04,7.1639e+04,-3.6749e-16,1.5532e+00
9.8000e+00,1.6290e+01,9.7644e+00,7.2111e+04,7.2112e+04,-3.6749e-16,1.5532e+00
9.8500e+00,1.6432e+01,9.8494e+00,7.2584e+04,7.2584e+04,-3.6749e-16,1.5532e+00
9.9000e+00,1.6574e+01,9.9346e+00,7.3058e+04,7.3059e+04,-3.6749e-16,1.5532e+00
9.9500e+00,1.6717e+01,1.0020e+01,7.3533e+04,7.3534e+04,-3.6749e-16,1.5532e+00
1.0000e+01,1.6859e+01,1.0105e+01,7.4010e+04,7.4010e+04,-3.6749e-16,1.5532e+00
1.0050e+01,1.7002e+01,1.0191e+01,7.4487e+04,7.4487e+04,-3.6749e-16,1.5532e+00
1.0100e+01,1.7146e+01,1.0277e+01,7.4965e+04,7.4966e+04,-3.6749e-16,1.5532e+00
1.0150e+01,1.7289e+01,1.0363e+01,7.5445e+04,7.5445e+04,-3.6749e-16,1.5532e+00
1.0200e+01,1.7433e+01,1.0449e+01,7.5926e+04,7.5926e+04,-3.6749e-16,1.5532e+00
1.0250e+01,1.7577e+01,1.0536e+01,7.6407e+04,7.6408e+04,-3.6749e-16,1.5532e+00
1.0300e+01,1.7722e+01,1.0623e+01,7.6890e+04,7.6891e+04,-3.6749e-16,1.5532e+00
1.0350e+01,1.7867e+01,1.0709e+01,7.7374e+04,7.7374e+04,-3.6749e-16,1.5532e+00
1.0400e+01,1.8012e+01,1.0796e+01,7.7859e+04,7.7859e+04,-3.6749e-16,1.5532e+00
1.0450e+01,1.8158e+01,1.0884e+01,7.8345e+04,7.8345e+04,-3.6749e-16,1.5532e+00
1.0500e+01,1.8303e+01,1.0971e+01,7.8832e+04,7.8832e+04,-3.6749e-16,1.5532e+00
1.0550e+01,1.8450e+01,1.1059e+01,7.9320e+04,7.9320e+04,-3.6749e-16,1.5532e+00
1.0600e+01,1.8596e+01,1.1146e+01,7.9809e+04,7.9809e+04,-3.6749e-16,1.5532e+00
1.0650e+01,1.8743e+01,1.1234e+01,8.0299e+04,8.0300e+04,-3.6749e-16,1.5532e+00
1.0700e+01,1.8890e+01,1.1322e+01,8.0791e+04,8.0791e+04,-3.6749e-16,1.5532e+00
1.0750e+01,1.9037e+01,1.1411e+01,8.1283e+04,8.1284e+04,-3.6749e-16,1.5532e+00
1.0800e+01,1.9185e+01,1.1499e+01,8.1777e+04,8.1777e+04,-3.6749e-16,1.5532e+00
1.0850e+01,1.9333e+01,1.1588e+01,8.2272e+04,8.2272e+04,-3.6749e-16,1.5532e+00
1.0900e+01,1.9481e+01,1.1677e+01,8.2768e+04,8.2768e+04,-3.6749e-16,1.5532e+00
1.0950e+01,1.9630e+01,1.1766e+01,8.3264e+04,8.3265e+04,-3.6749e-16,1.5532e+00
1.1000e+01,1.9779e+01,1.1855e+01,8.3762e+04,8.3763e+04,-3.6749e-16,1.5532e+00
1.1050e+01,1.9928e+01,1.1945e+01,8.4261e+04,8.4261e+04,-3.6749e-16,1.5532e+00
1.1100e+01,2.0077e+01,1.2034e+01,8.4762e+04,8.4762e+04,-3.6749e-16,1.5532e+00
1.1150e+01,2.0227e+01,1.2124e+01,8.5263e+04,8.5263e+04,-3.6749e-16,1.5532e+00
1.1200e+01,2.0378e+01,1.2214e+01,8.5765e+04,8.5765e+04,-3.6749e-16,1.5532e+00
1.1250e+01,2.0528e+01,1.2304e+01,8.6269e+04,8.6269e+04,-3.6749e-16,1.5532e+00
1.1300e+01,2.0679e+01,1.2395e+01,8.6773e+04,8.6773e+04,-3.6749e-16,1.5532e+00
1.1350e+01,2.0830e+01,1.2485e+01,8.7279e+04,8.7279e+04,-3.6749e-16,1.5532e+00
1.1400e+01,2.0981e+01,1.2576e+01,8.7786e+04,8.7786e+04,-3.6749e-16,1.5532e+00
1.1450e+01,2.1133e+01,1.2667e+01,8.8294e+04,8.8294e+04,-3.6749e-16,1.5532e+00
1.1500e+01,2.1285e+01,1.2758e+01,8.8803e+04,8.8803e+04,-3.6749e-16,1.5532e+00
1.1550e+01,2.1438e+01,1.2850e+01,8.9313e+04,8.9313e+04,-3.6749e-16,1.5532e+00
1.1600e+01,2.1590e+01,1.2941e+01,8.9824e+04,8.9824e+04,-3.6749e-16,1.5532e+00
1.1650e+01,2.1744e+01,1.3033e+01,9.0336e+04,9.0337e+04,-3.6749e-16,1.5532e+00
1.1700e+01,2.1897e+01,1.3125e+01,9.0850e+04,9.0850e+04,-3.6749e-16,1.5532e+00
1.1750e+01,2.2187e+01,1.3299e+01,9.1185e+04,9.1185e+04,-3.6749e-16,1.5532e+00
1.1800e+01,2.2205e+01,1.3309e+01,9.1880e+04,9.1880e+04,-3.6749e-16,1.5532e+00
1.1850e+01,2.2359e+01,1.3402e+01,9.2397e+04,9.2397e+04,-3.6749e-16,1.5532e+00
1.1900e+01,2.2514e+01,1.3495e+01,9.2915e+04,9.2915e+04,-3.6749e-16,1.5532e+00
1.1950e+01,2.2668e+01,1.3587e+01,9.3433e+04,9.3434e+04,-3.6749e-16,1.5532e+00
1.2000e+01,2.2824e+01,1.3680e+01,9.3953e+04,9.3954e+04,-3.6749e-16,1.5532e+00
1.2050e+01,2.2979e+01,1.3774e+01,9.4475e+04,9.4475e+04,-3.6749e-16,1.5532e+00
1.2100e+01,2.3135e+01,1.3867e+01,9.4997e+04,9.4998e+04,-3.6749e-16,1.5532e+00
