Grid Pos (microns),U Total (1/cm3s),U Stim (1/cm3s)
4.8336e-01,-7.1343e+24,-7.1674e+24
4.8437e-01,-6.4505e+24,-6.4820e+24
4.8537e-01,-5.8109e+24,-5.8409e+24
4.8638e-01,-5.2169e+24,-5.2453e+24
4.8739e-01,-4.6697e+24,-4.6964e+24
4.8840e-01,-4.1704e+24,-4.1954e+24
4.8941e-01,-3.7199e+24,-3.7431e+24
4.9041e-01,-3.3191e+24,-3.3406e+24
4.9142e-01,-2.9689e+24,-2.9887e+24
4.9243e-01,-2.6700e+24,-2.6879e+24
4.9344e-01,-2.4229e+24,-2.4391e+24
4.9445e-01,-2.2283e+24,-2.2426e+24
4.9545e-01,-2.0865e+24,-2.0989e+24
4.9646e-01,-1.9983e+24,-2.0089e+24
4.9747e-01,-1.9653e+24,-1.9740e+24
4.9848e-01,-1.9925e+24,-1.9994e+24
4.9948e-01,-2.0986e+24,-2.1036e+24
5.0049e-01,-2.3538e+24,-2.3571e+24
5.0150e-01,-3.0171e+24,-3.0189e+24
5.0249e-01,-1.5475e+24,-1.5502e+24
5.0348e-01,-1.5978e+24,-1.6023e+24
5.0448e-01,-1.7217e+24,-1.7302e+24
5.0547e-01,-1.8798e+24,-1.8972e+24
5.0646e-01,-2.0537e+24,-2.0899e+24
5.0745e-01,-2.2841e+24,-2.3026e+24
5.0845e-01,-2.4981e+24,-2.5319e+24
5.0944e-01,-2.7681e+24,-2.7750e+24
5.1043e-01,-3.0198e+24,-3.0267e+24
5.1142e-01,-3.2655e+24,-3.2746e+24
5.1242e-01,-3.4197e+24,-3.4812e+24
5.1341e-01,-2.2174e+24,-3.5240e+24
5.1440e-01,2.8229e+25,-2.9447e+24
5.1541e-01,2.7115e+25,-3.9231e+24
5.1642e-01,2.6476e+25,-4.5190e+24
5.1742e-01,2.5977e+25,-4.9797e+24
5.1843e-01,2.5520e+25,-5.3991e+24
5.1944e-01,2.5070e+25,-5.8104e+24
5.2045e-01,2.4617e+25,-6.2247e+24
5.2145e-01,2.4158e+25,-6.6454e+24
5.2246e-01,2.3692e+25,-7.0727e+24
5.2347e-01,2.3220e+25,-7.5061e+24
5.2448e-01,2.2743e+25,-7.9445e+24
5.2549e-01,2.2262e+25,-8.3868e+24
5.2649e-01,2.1778e+25,-8.8318e+24
5.2750e-01,2.1294e+25,-9.2782e+24
5.2851e-01,2.0809e+25,-9.7248e+24
5.2952e-01,2.0325e+25,-1.0170e+25
5.3053e-01,1.9843e+25,-1.0614e+25
5.3153e-01,1.9365e+25,-1.1053e+25
5.3254e-01,1.8892e+25,-1.1488e+25
5.3355e-01,1.8425e+25,-1.1918e+25
5.3456e-01,1.7965e+25,-1.2340e+25
5.3556e-01,1.7514e+25,-1.2753e+25
5.3657e-01,1.7072e+25,-1.3157e+25
5.3758e-01,1.6640e+25,-1.3551e+25
5.3859e-01,1.6220e+25,-1.3933e+25
