Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Pot (V) at Lt Cont,Cont Pot (V) at Rt Cont
1.5200e+00,4.5313e-03,1.8112e-03,3.4585e+02,3.4585e+02,1.5200e+00,0.0000e+00
1.5300e+00,1.4672e-02,5.8644e-03,4.1489e+02,4.1489e+02,1.5300e+00,0.0000e+00
1.5400e+00,4.2278e-02,1.6898e-02,5.1758e+02,5.1758e+02,1.5400e+00,0.0000e+00
1.5500e+00,9.5931e-02,3.8344e-02,6.6155e+02,6.6155e+02,1.5500e+00,0.0000e+00
1.5600e+00,1.4949e-01,5.9751e-02,8.0527e+02,8.0527e+02,1.5600e+00,0.0000e+00
1.5700e+00,2.0294e-01,8.1114e-02,9.4869e+02,9.4869e+02,1.5700e+00,0.0000e+00
1.5800e+00,2.5626e-01,1.0243e-01,1.0918e+03,1.0918e+03,1.5800e+00,0.0000e+00
1.5900e+00,3.1184e-01,1.2464e-01,1.2364e+03,1.2364e+03,1.5900e+00,0.0000e+00
1.6000e+00,3.6242e-01,1.4486e-01,1.3766e+03,1.3766e+03,1.6000e+00,0.0000e+00
1.6100e+00,4.1522e-01,1.6596e-01,1.5183e+03,1.5183e+03,1.6100e+00,0.0000e+00
1.6200e+00,4.6780e-01,1.8698e-01,1.6594e+03,1.6594e+03,1.6200e+00,0.0000e+00
1.6300e+00,5.2013e-01,2.0790e-01,1.7998e+03,1.7998e+03,1.6300e+00,0.0000e+00
1.6400e+00,5.7218e-01,2.2870e-01,1.9395e+03,1.9395e+03,1.6400e+00,0.0000e+00
1.6500e+00,6.2392e-01,2.4938e-01,2.0783e+03,2.0783e+03,1.6500e+00,0.0000e+00
1.6600e+00,6.7532e-01,2.6993e-01,2.2162e+03,2.2162e+03,1.6600e+00,0.0000e+00
1.6700e+00,7.2634e-01,2.9032e-01,2.3531e+03,2.3531e+03,1.6700e+00,0.0000e+00
1.6800e+00,7.7695e-01,3.1055e-01,2.4889e+03,2.4889e+03,1.6800e+00,0.0000e+00
1.6900e+00,8.2711e-01,3.3059e-01,2.6235e+03,2.6235e+03,1.6900e+00,0.0000e+00
1.7000e+00,8.7678e-01,3.5045e-01,2.7567e+03,2.7567e+03,1.7000e+00,0.0000e+00
1.7100e+00,9.2593e-01,3.7009e-01,2.8886e+03,2.8886e+03,1.7100e+00,0.0000e+00
